Participant ID,Video file,Gloss,ASL-LEX Code
P23,43436296408084707-STEAK.mp4,STEAK,D_02_041
P50,14948735613871889-SUNBATHE.mp4,SUNBATHE2,H_02_013
P30,28637448165850565-TUESDAY.mp4,TUESDAY,J_03_087
P7,18052794265453098-SHAME.mp4,SHAME,D_03_008
P52,684196640712065-seedFALLING ASLEEP.mp4,FALLINGASLEEP,E_03_006
P43,16291292828173853-HEAD GRIND.mp4,HEADGRIND,E_03_033
P27,15319114962542413-CORN 1.mp4,CORN1,A_02_084
P52,3202883073370677-seedSCRUB.mp4,SCRUB,E_02_086
P20,6985005787494978-ALL DAY.mp4,ALLDAY,H_02_093
P52,7577409940701343-seedHANG.mp4,HANG,E_02_063
P33,8087428088221467-SLIP 2.mp4,SLIP1,K_02_033
P25,467385745615998-VITAMINS.mp4,VITAMINS,E_01_043
P11,8659307742747842-LOSE.mp4,LOSE,D_03_064
P11,778591422557326-FOREVER.mp4,FOREVER1,D_03_072
P40,09267903800180943-DONT CARE.mp4,DONTCARE,G_03_082
P29,9460600748826895-DUE.mp4,DUE,H_03_011
P11,9386221281999578-ROBOT.mp4,ROBOT,F_01_034
P43,9865217437768783-BLINDS 2.mp4,BLINDS2,C_03_014
P30,1102717484663962-DANCE.mp4,DANCE,B_02_063
P52,08442339036204904-seedSCORE.mp4,SCORE,H_01_060
P37,9460095198290615-CRAZY.mp4,CRAZY,D_03_040
P40,6504578796252551-NO BIG_DEAL.mp4,NOBIGDEAL,H_03_044
P40,793970673925166-TO.mp4,TO,E_03_086
P11,7759893655789438-FOURTH.mp4,FOURTH,H_03_004
P27,017039216707916305-THEY 2.mp4,THEY2,E_01_044
P52,8307033589957429-seedMOVE DOWN.mp4,MOVEDOWN,G_01_053
P30,8199761404508801-MASCARA.mp4,MASCARA,D_01_071
P11,42213418826379145-BLANK.mp4,BLANK,H_02_006
P52,11620182282850933-seedWANT.mp4,WANT2,C_03_013
P31,6163226893809886-NERVE.mp4,NERVE,G_02_045
P43,8362382766907357-SMOKE.mp4,SMOKE,H_01_046
P50,35216261810741933-PUMPKIN.mp4,PUMPKIN,H_02_056
P16,4906781376506284-MICROSCOPE.mp4,MICROSCOPE1,A_03_076
P20,7042482718098351-EAT 2.mp4,EAT2,B_03_082
P50,5344192765643432-WHO.mp4,WHO,C_01_041
P30,9271549656774682-SHRIMP.mp4,SHRIMP,A_01_065
P33,2503930490736366-KNOW.mp4,KNOW,C_01_048
P27,6974116269624848-LOSE GAME.mp4,LOSEGAME,C_02_009
P37,4632003290939186-EASY TO_DO.mp4,EASYTODO,G_02_073
P52,8373979609634778-seedPLAN.mp4,PLAN,E_03_034
P14,8124661253490426-GORILLA.mp4,GORILLA,A_02_044
P27,07702888967614374-POUR.mp4,POUR2,F_02_063
P20,5510632736533749-TURTLE.mp4,TURTLE,A_02_009
P50,8176424168985044-MOP.mp4,MOP1,A_02_090
P31,7065946942180694-THIEF 1.mp4,THIEF1,B_03_019
P11,8815951423657669-JUICE 2.mp4,JUICE1,G_03_035
P33,15962566190269123-PAIR.mp4,PAIR,H_03_031
P40,014810295263860018-GATE CLOSE.mp4,GATECLOSE,E_02_073
P16,4245247636552447-WINK.mp4,WINK,D_03_094
P31,8433324182255562-BIRTHDAY.mp4,BIRTHDAY,D_01_054
P52,02032924325721286-seedWORRY.mp4,WORRY,C_02_015
P37,23526275140613473-BATTERY.mp4,BATTERY,D_02_089
P31,8290052980281477-BED.mp4,BED1,A_03_037
