Participant ID,Video file,Gloss,ASL-LEX Code
P1,15890366051589533-APPLE.mp4,APPLE,A_03_054
P1,6958143575951994-PARK.mp4,PARK,E_03_028
P1,0033742275375785447-INFLUENCE.mp4,INFLUENCE,H_02_031
P1,8068093518563271-CIRCUSWHEEL.mp4,CIRCUSWHEEL,H_02_065
P1,4520498201410337-BACKPACK.mp4,BACKPACK1,G_03_091
P1,7090729284366466-DOWNHILL.mp4,DOWNHILL,H_03_012
P1,8221969382671432-SCOLD.mp4,SCOLD,H_01_008
P1,12338257144617781-POWDER.mp4,POWDER,H_01_026
P1,7448818785190525-CAPTURE.mp4,CAPTURE,H_03_048
P1,02551571232229133-PONDER.mp4,PONDER,H_01_043
P1,8643853796183107-JOKE.mp4,JOKE,G_03_086
P1,8782764153522997-SOCIETY.mp4,SOCIETY,H_01_002
P1,7316392299762329-WATERDROP.mp4,WATERDROP,H_01_019
P1,2381384470099226-MAPLE.mp4,MAPLE,H_03_064
P1,48967843716521897-FAIL.mp4,FAIL,H_01_077
P1,5670505226343947-KNIGHT.mp4,KNIGHT1,H_01_054
P1,6235541652821013-ALL OF_SUDDEN.mp4,ALLOFSUDDEN,H_01_096
P1,9037793072145501-TOTAL.mp4,TOTAL,H_01_071
P1,5266228840785678-UNCERTAIN.mp4,UNCERTAIN,H_02_020
P1,1676037390807208-GREET.mp4,GREET1,J_01_042
P1,03369501517929252-PROPOSE.mp4,PROPOSE,H_02_026
P1,36286598060839914-TOSS OUT.mp4,TOSSOUT,H_02_037
P1,8517954107198269-EMPTY 2.mp4,EMPTY2,J_01_077
P1,23746553103054158-PRECIOUS.mp4,PRECIOUS,H_02_071
P1,6490408879992484-LAY DOWN.mp4,LAYDOWN,J_02_004
P1,7054386695414354-STORY 3.mp4,STORY1,H_03_007
P1,7958435331951532-REMOVE.mp4,REMOVE,J_02_092
P1,9533248897839621-BETWEEN.mp4,BETWEEN,J_03_003
P1,4066959996902433-THERAPY.mp4,THERAPY,H_03_088
P1,6742655874522336-COMMUNITY.mp4,COMMUNITY,J_01_015
P1,2002285518954443-TURN.mp4,TURN,J_01_065
P1,5290373884784241-HATBRIM.mp4,HATBRIM,J_03_106
P1,5837296033724944-LEND.mp4,LEND,J_01_088
P1,6069671516966564-STUMBLE.mp4,STUMBLE,J_02_079
P1,010850214999561736-CELEBRATE.mp4,CELEBRATE,J_02_100
P1,13244724399416663-TOSS.mp4,TOSS,J_03_009
P1,6750594223002664-FLOAT 3.mp4,FLOAT1,K_01_082
P40,654679171689897-APPLE.mp4,APPLE,A_03_054
P40,5662880671112962-PARK.mp4,PARK,E_03_028
P40,4713001664096925-INFLUENCE.mp4,INFLUENCE,H_02_031
P40,4499250795706189-CIRCUSWHEEL.mp4,CIRCUSWHEEL,H_02_065
P40,8875256912597131-BACKPACK.mp4,BACKPACK1,G_03_091
P40,3237841089626472-DOWNHILL.mp4,DOWNHILL,H_03_012
P40,7275461608600278-SCOLD.mp4,SCOLD,H_01_008
P40,8342259238668124-POWDER.mp4,POWDER,H_01_026
P40,2746482938137922-CAPTURE.mp4,CAPTURE,H_03_048
P40,7476109931780017-PONDER.mp4,PONDER,H_01_043
P40,33372376790577385-JOKE.mp4,JOKE,G_03_086
P40,8763478538813974-SOCIETY.mp4,SOCIETY,H_01_002
P40,6019042581182006-WATERDROP.mp4,WATERDROP,H_01_019
P40,3810108088744719-FAIL.mp4,FAIL,H_01_077
P40,62432102043786-KNIGHT.mp4,KNIGHT1,H_01_054
P40,3140572918045199-ALL OF_SUDDEN.mp4,ALLOFSUDDEN,H_01_096
P40,26442801372084057-TOTAL.mp4,TOTAL,H_01_071
P40,5908448341148838-UNCERTAIN.mp4,UNCERTAIN,H_02_020
P40,9778046529233306-GREET.mp4,GREET1,J_01_042
P40,3909940550052129-PROPOSE.mp4,PROPOSE,H_02_026
P40,19744460835584432-TOSS OUT.mp4,TOSSOUT,H_02_037
P40,8331521549475343-PRECIOUS.mp4,PRECIOUS,H_02_071
P40,26779769878453363-LAY DOWN.mp4,LAYDOWN,J_02_004
P40,4883233656549113-STORY 3.mp4,STORY1,H_03_007
P40,09913910553280747-REMOVE.mp4,REMOVE,J_02_092
P40,23935932871880738-BETWEEN.mp4,BETWEEN,J_03_003
P40,26831740738029275-THERAPY.mp4,THERAPY,H_03_088
P40,4709219515950245-COMMUNITY.mp4,COMMUNITY,J_01_015
P40,5666202221838486-TURN.mp4,TURN,J_01_065
P40,5224289762112848-LEND.mp4,LEND,J_01_088
P40,5395352613912254-CELEBRATE.mp4,CELEBRATE,J_02_100
P40,8143823054520445-HATCH 2.mp4,HATCH2,K_01_007
P40,784442858510149-PILLOW 2.mp4,PILLOW2,K_01_097
P40,8674978531375388-SHIRT 2.mp4,SHIRT2,K_01_108
P40,3611339319587963-SLIP 2.mp4,SLIP1,K_02_033
P40,5390411629840837-CLOCK 2.mp4,CLOCK1,K_02_038
P40,3635703251583551-GLASS 3.mp4,GLASS1,K_02_059
P40,7800294564666657-SUMMON.mp4,SUMMON,K_02_075
P40,36182318013198267-BURY 2.mp4,BURY1,K_03_018
P40,9072202582847813-ARREST 3.mp4,ARREST3,K_03_036
P40,28165779316856177-STACK 3.mp4,STACK2,K_03_069
P40,940072121680658-VAMPIRE.mp4,VAMPIRE,K_03_123
P40,6440471350161254-POP 4.mp4,POP1,K_03_031
P40,161397688937315-RAZOR 2.mp4,RAZOR2,K_03_103
P40,9665726169641298-SNOW 2.mp4,SNOW2,K_03_081
P40,4777114214367413-BENEFIT.mp4,BENEFIT,C_02_056
P40,9141133089170674-DROP.mp4,DROP,C_03_052
P40,16759358676302494-GAME.mp4,GAME,C_03_047
P40,6248518251977921-APPOINTMENT.mp4,APPOINTMENT,C_01_088
P40,7815897175027569-YESTERDAY.mp4,YESTERDAY,D_01_024
P40,8006343369425069-TEETH.mp4,TEETH,D_01_040
P40,33093247095464684-GIRL.mp4,GIRL,C_03_073
P40,10857326791414024-BOAT.mp4,BOAT,D_01_055
P40,16884356585373195-EASY.mp4,EASY,D_01_070
P40,142382602529187-IDEA.mp4,IDEA,D_01_085
P40,23295455480851857-LET KNOW.mp4,LETKNOW,D_02_028
P40,09480001149764816-MEET.mp4,MEET,D_02_018
P40,36626645710568106-NEWSPAPER.mp4,NEWSPAPER,D_02_053
P40,6989402826625473-GOD.mp4,GOD,D_02_068
P40,3844148444722406-FULL.mp4,FULL,D_02_048
P40,5307030948600251-WIFE.mp4,WIFE,D_03_025
P40,5677482375653258-DRAW.mp4,DRAW,D_02_063
P40,27759670594914465-CAR.mp4,CAR,D_02_043
P40,8306237547328505-EXCUSE.mp4,EXCUSE,D_03_052
P40,4465135859623439-LESSON.mp4,LESSON,D_03_083
P40,45107006465931687-PLUG.mp4,PLUG1,E_01_022
P40,45360553116056135-NUT.mp4,NUT1,D_02_073
P40,14857041755268563-FED UP.mp4,FEDUP,E_01_047
P40,17556925442961546-BUDGET.mp4,BUDGET,E_01_099
P40,0019458289228719838-SEQUENCE.mp4,SEQUENCE,E_02_008
P40,42899833130683573-ROCKET 1.mp4,ROCKET1,E_01_016
P40,9246436366130377-FACE.mp4,FACE,E_01_053
P40,2111386793579384-BUSY.mp4,BUSY,E_02_040
P40,26689261591142355-PROOF.mp4,PROOF,E_02_019
P40,48605335562768315-DRIVE.mp4,DRIVE,E_02_053
P40,4716209539695517-SHARE.mp4,SHARE,E_02_101
P40,9539744052316363-INTUITIVE.mp4,INTUITIVE,F_01_006
P40,3570222124406002-LOUSY.mp4,LOUSY,F_01_074
P40,752385671850688-SKIN.mp4,SKIN,F_01_091
P40,8642316172083411-LOOK FORWARD.mp4,LOOKFORWARD,F_02_022
P40,4001283150525985-SWIM.mp4,SWIM1,E_03_053
P40,3180685106985577-GOAL.mp4,GOAL,E_03_048
P40,08105598822367299-ANSWER.mp4,ANSWER,E_03_065
P40,8115249297063862-ROUGH.mp4,ROUGH,F_01_028
P40,3950711714142374-PET.mp4,PET1,F_01_063
P40,6735558330423335-GRAY.mp4,GRAY,F_01_080
P40,9058683859887124-HEAVY.mp4,HEAVY,F_01_085
P40,05804557658914389-HURDLE-TRIP.mp4,HURDLE/TRIP1,G_01_036
P40,30769191586183053-ISOLATED.mp4,ISOLATED,F_02_033
P40,3034247461648141-MAILMAN.mp4,MAILMAN,F_02_082
