Participant ID,Video file,Gloss,ASL-LEX Code
P1,35618482303951104-IMPOSSIBLE.mp4,IMPOSSIBLE,B_01_032
P1,8006032738002744-SOCCER 2.mp4,SOCCER2,F_03_032
P1,37542279833186454-STINK.mp4,STINK,H_01_064
P1,9498964909837952-ROSE.mp4,ROSE,G_03_024
P1,9618808117704574-HUG.mp4,HUG,G_02_036
P1,15543213389651633-TUBE.mp4,TUBE,G_03_042
P1,9162908944303221-COUNT.mp4,COUNT,G_02_054
P1,14154575310664197-NICE.mp4,NICE,G_03_059
P1,996512226187074-EASY TO_DO.mp4,EASYTODO,G_02_073
P1,02808154918358552-PEACOCK.mp4,PEACOCK,G_02_088
P1,6652814499755777-NOSE.mp4,NOSE,G_03_075
P1,23247991626849585-GYM.mp4,GYM,G_03_003
P1,20880000068819649-WEAVE.mp4,WEAVE,H_02_081
P1,13621431540213602-SMOOTH.mp4,SMOOTH,H_02_101
P1,16994877911771145-WE.mp4,WE,G_03_019
P1,19003684436528423-JUICE 2.mp4,JUICE1,G_03_035
P1,7480838717347633-SOCIAL.mp4,SOCIAL,H_03_030
P1,6523179384259175-PULL CONVINCE.mp4,PULLCONVINCE,G_03_069
P1,21344274764159632-ANYONE.mp4,ANYONE,H_01_059
P1,44939873429204336-CEMETERY.mp4,CEMETERY,H_01_037
P1,9060451576078816-COOL 3.mp4,COOL3,H_03_099
P1,03909340585346133-FASHION.mp4,FASHION,J_01_010
P1,6831527585028447-LONG AGO.mp4,LONGAGO,J_01_026
P1,34318091362618364-BECOME.mp4,BECOME,H_02_008
P1,001428415918161674-IMPROVE.mp4,IMPROVE,H_02_003
P1,42981546208191546-SQUARE.mp4,SQUARE,J_01_060
P1,9228494689014171-PACK.mp4,PACK,H_02_060
P1,6508465822424006-THANK YOU.mp4,THANKYOU,H_02_053
P1,721478559560571-EACH OTHER.mp4,EACHOTHER,H_02_076
P1,7054741400093962-WILL GO.mp4,WILLGO,J_01_095
P1,5880724478842327-PARANOID.mp4,PARANOID,J_02_021
P1,7552681133614059-ALASKA.mp4,ALASKA,H_02_087
P1,6585783944135442-EXPERIMENT.mp4,EXPERIMENT,H_03_002
P1,7721480534101262-EVERY NIGHT.mp4,EVERYNIGHT,J_02_058
P1,2911495969703426-GET TOGETHER.mp4,GETTOGETHER,J_02_073
P1,07792809391288658-SQUEEZE.mp4,SQUEEZE,H_03_019
P1,0020443210100780096-KNOCK OFF.mp4,KNOCKOFF,H_03_035
P1,44178831586926837-MOSQUITO.mp4,MOSQUITO,H_03_053
P1,81146496428304-TOY 3.mp4,TOY1,H_03_070
P1,8058014641528197-SPICY.mp4,SPICY,J_03_036
P1,008279096911288919-JEWELRY.mp4,JEWELRY,H_03_040
P1,6743634201232205-BULLSHIT.mp4,BULLSHIT,J_03_053
P1,31263202270120893-ADVANTAGE.mp4,ADVANTAGE,H_03_059
P1,4923163326429678-WHISPER.mp4,WHISPER,H_03_075
P1,8212971647934255-SIGN PAPER.mp4,SIGNPAPER,H_03_094
P1,3628340866937836-DONT FEEL_LIKE.mp4,DONTFEELLIKE,J_01_005
P1,19749527870729988-CLIENT.mp4,CLIENT,J_01_031
P1,7809503445047001-BREAKFAST.mp4,BREAKFAST1,J_01_053
P1,6796499805319471-CORNER.mp4,CORNER,J_03_071
P1,5064877659011977-GOODY GOODY_SHOE_OPPOSITE.mp4,GOODYGOODYSHOEOPPOSITE,J_01_072
P1,7069069415498499-CASTLE 2.mp4,CASTLE2,K_01_017
P1,8684706324228275-SOPHOMORE.mp4,SOPHOMORE,J_01_107
P1,19379537971333316-SUPERVISOR.mp4,SUPERVISOR,J_02_010
P1,24683104585018412-SWEAR IN.mp4,SWEARIN,J_02_016
P1,35976901957453444-INSTITUTE.mp4,INSTITUTE,J_02_047
P1,031670126370264784-LICK ENVELOPE.mp4,LICKENVELOPE1,K_01_035
P1,4409418046134761-PERCEIVE.mp4,PERCEIVE,J_02_063
P1,038446216989295845-WIDE.mp4,WIDE,J_02_052
P1,9076828716002219-PEEL 2.mp4,PEEL1,K_01_052
P1,49288220098651747-DOG.mp4,DOG1,A_01_056
P1,31649691891683207-THEORY.mp4,THEORY,J_03_042
P1,6343693205934693-SHORT WORD.mp4,SHORTWORD,J_02_087
P1,27469263568791-LABEL.mp4,LABEL,J_02_105
P1,13187210101793911-FIRED.mp4,FIRED,J_03_058
P1,8450645349294537-ADVERTISE.mp4,ADVERTISE,J_03_015
P1,45613794376693106-DEMOTE.mp4,DEMOTE,J_03_031
P1,7568259630004095-INHALE.mp4,INHALE,J_03_048
P40,5868753228914183-IMPOSSIBLE.mp4,IMPOSSIBLE,B_01_032
P40,23750861250634614-STINK.mp4,STINK,H_01_064
P40,15747884716509963-ROSE.mp4,ROSE,G_03_024
P40,5460269220331138-HUG.mp4,HUG,G_02_036
P40,10215603974987486-TUBE.mp4,TUBE,G_03_042
P40,8675914629662917-COUNT.mp4,COUNT,G_02_054
P40,18199086230023087-NICE.mp4,NICE,G_03_059
P40,6022620990262424-EASY TO_DO.mp4,EASYTODO,G_02_073
P40,27103930782829466-NOSE.mp4,NOSE,G_03_075
P40,9121237989915896-GYM.mp4,GYM,G_03_003
P40,6416278179941874-WEAVE.mp4,WEAVE,H_02_081
P40,8801673159859185-SMOOTH.mp4,SMOOTH,H_02_101
P40,5346957049353451-WE.mp4,WE,G_03_019
P40,8673853297757075-JUICE 2.mp4,JUICE1,G_03_035
P40,2501721560408141-SOCIAL.mp4,SOCIAL,H_03_030
P40,931782741467386-ANYONE.mp4,ANYONE,H_01_059
P40,5418273984027029-CEMETERY.mp4,CEMETERY,H_01_037
P40,613903843341741-COOL 3.mp4,COOL3,H_03_099
P40,19185527558933835-LONG AGO.mp4,LONGAGO,J_01_026
P40,6459252267958286-BECOME.mp4,BECOME,H_02_008
P40,047964805851413495-IMPROVE.mp4,IMPROVE,H_02_003
P40,5406966366518051-SQUARE.mp4,SQUARE,J_01_060
P40,8884945458417148-PACK.mp4,PACK,H_02_060
P40,7535449770372906-THANK YOU.mp4,THANKYOU,H_02_053
P40,6169165591640462-EACH OTHER.mp4,EACHOTHER,H_02_076
P40,4685262003433257-WILL GO.mp4,WILLGO,J_01_095
P40,9119750137106359-PARANOID.mp4,PARANOID,J_02_021
P40,2063128811266226-ALASKA.mp4,ALASKA,H_02_087
P40,39878139372685606-EXPERIMENT.mp4,EXPERIMENT,H_03_002
P40,5819018923811163-ARTICLE.mp4,ARTICLE,J_02_041
P40,030163845009707257-EVERY NIGHT.mp4,EVERYNIGHT,J_02_058
P40,8019317290688388-GET TOGETHER.mp4,GETTOGETHER,J_02_073
P40,7735436577579549-MOSQUITO.mp4,MOSQUITO,H_03_053
P40,30802284724627316-TOY 3.mp4,TOY1,H_03_070
P40,7742371822103638-SPICY.mp4,SPICY,J_03_036
P40,6555062872975101-JEWELRY.mp4,JEWELRY,H_03_040
P40,02362800594599035-BULLSHIT.mp4,BULLSHIT,J_03_053
P40,4158330922555107-ADVANTAGE.mp4,ADVANTAGE,H_03_059
P40,9326067198560057-WHISPER.mp4,WHISPER,H_03_075
P40,6468451269888666-SIGN PAPER.mp4,SIGNPAPER,H_03_094
P40,6738805591563901-LEAVE ALONE.mp4,LEAVEALONE,H_03_105
P40,3794908792089089-CLIENT.mp4,CLIENT,J_01_031
P40,13959766874483237-BREAKFAST.mp4,BREAKFAST1,J_01_053
P40,45348925603024304-CORNER.mp4,CORNER,J_03_071
P40,23509015263340394-CASTLE 2.mp4,CASTLE2,K_01_017
P40,026708400894418727-SOPHOMORE.mp4,SOPHOMORE,J_01_107
P40,28041608305216026-SUPERVISOR.mp4,SUPERVISOR,J_02_010
P40,6928326961533751-INSTITUTE.mp4,INSTITUTE,J_02_047
P40,6619748121410192-PERCEIVE.mp4,PERCEIVE,J_02_063
P40,11167211155706291-WIDE.mp4,WIDE,J_02_052
P40,30070654019768583-PEEL 2.mp4,PEEL1,K_01_052
P40,11432147423106453-DOG.mp4,DOG1,A_01_056
P40,9184146468779903-BOWLING 2.mp4,BOWLING2,K_01_067
P40,7381855460513327-RIDE 2.mp4,RIDE1,J_03_026
P40,6336093498495587-THEORY.mp4,THEORY,J_03_042
P40,6956016227207786-SHORT WORD.mp4,SHORTWORD,J_02_087
P40,4168307048484854-LABEL.mp4,LABEL,J_02_105
P40,04939380671476301-FIRED.mp4,FIRED,J_03_058
P40,0525121513125173-DARK.mp4,DARK1,J_03_094
P40,41738678001523555-DEVOUR.mp4,DEVOUR,K_01_047
P40,3665083076635902-CELLPHONE.mp4,CELLPHONE,K_01_128
P40,08028498244023075-FLASHLIGHT 3.mp4,FLASHLIGHT2,K_01_057
P40,569252532013591-LIGHT 2.mp4,LIGHT,K_01_102
P40,9984110117309302-BUMPY.mp4,BUMPY,K_01_123
P40,7913552139341871-SNEEZE 2.mp4,SNEEZE1,K_02_023
P40,02417596973931868-FRISK.mp4,FRISK,K_02_070
P40,22066071141437238-BANANA 2.mp4,BANANA2,K_02_097
P40,1455478001735404-CHERRY 2.mp4,CHERRY1,K_02_113
P40,4458090401198842-ELEVATOR 3.mp4,ELEVATOR3,K_03_002
P40,21072859884997563-STACK 2.mp4,STACK1,K_02_102
P40,461256999845691-ENVELOPE 5.mp4,ENVELOPE3,K_02_107
P40,3965534717514636-KNITTING 3.mp4,KNITTING1,K_03_013
P40,11938517772299284-SMILE 2.mp4,SMILE2,K_03_023
P40,3414971948885017-SCREWDRIVER 2.mp4,SCREWDRIVER2,K_03_041
P40,7866479770462362-CLOUD 4.mp4,CLOUD3,K_03_059
P40,3719623393652336-CARROT 3.mp4,CARROT2,K_03_075
P40,736053532553147-CRACKER 2.mp4,CRACKER2,K_03_093
P40,07995519195035183-CROSS.mp4,CROSS1,C_01_067
P40,5685505516650793-CHERRY.mp4,CHERRY2,C_01_083
P40,46721838510936897-JACKET.mp4,JACKET1,C_02_008
P40,638988979683649-RABBIT.mp4,RABBIT1,C_02_024
P40,7364724475858522-EYES.mp4,EYES,C_01_062
P40,24946258334528815-GUESS.mp4,GUESS1,D_02_013
P40,2889534487412355-DEMAND.mp4,DEMAND1,D_03_080
P40,5149945846466999-CHURCH.mp4,CHURCH,C_02_018
P40,3705689605906124-COMPUTER MOUSE.mp4,COMPUTERMOUSE,C_01_073
P40,8848744369087989-NEED.mp4,NEED,C_02_034
P40,6866053008104511-PINEAPPLE.mp4,PINEAPPLE1,C_02_088
P40,5187624262174839-BONE.mp4,BONE,C_03_015
P40,7561528652261482-CHILDREN.mp4,CHILDREN,C_02_066
P40,9249941273755868-FRUIT.mp4,FRUIT,C_02_083
P40,7882860253360209-ORDER 2.mp4,ORDER2,C_03_036
P40,17735124828998106-PROBLEM 1.mp4,PROBLEM2,C_03_010
P40,24975725380114233-WOOD.mp4,WOOD,C_03_031
P40,0955181553369353-FOREIGNER.mp4,FOREIGNER1,C_01_077
P40,4614534315577101-NOW.mp4,NOW,C_03_062
