Participant ID,Video file,Gloss,ASL-LEX Code
P27,0809565046350682-PEOPLE.mp4,PEOPLE,C_01_009
P27,30383114462768623-MOVIE 2.mp4,MOVIE2,D_01_026
P27,621700289304683-HOPE.mp4,HOPE,D_02_085
P27,8918143778633667-CAPTURE.mp4,CAPTURE,H_03_048
P27,5188588961733154-PONDER.mp4,PONDER,H_01_043
P27,5447059632309406-JOKE.mp4,JOKE,G_03_086
P27,40353511845248-SOCIETY.mp4,SOCIETY,H_01_002
P27,11540169324551419-WATERDROP.mp4,WATERDROP,H_01_019
P27,6608792970613251-MAPLE.mp4,MAPLE,H_03_064
P27,15079140547294045-FAIL.mp4,FAIL,H_01_077
P27,608487698538861-KNIGHT.mp4,KNIGHT1,H_01_054
P27,5695256322659339-ALL OF_SUDDEN.mp4,ALLOFSUDDEN,H_01_096
P27,7266570100816736-TOTAL.mp4,TOTAL,H_01_071
P27,6469250547484864-UNCERTAIN.mp4,UNCERTAIN,H_02_020
P27,42348352046432836-GREET.mp4,GREET1,J_01_042
P27,4024106013806603-PROPOSE.mp4,PROPOSE,H_02_026
P27,29206453382767683-TOSS OUT.mp4,TOSSOUT,H_02_037
P27,6258201966383996-EMPTY 2.mp4,EMPTY2,J_01_077
P27,3255480115010254-PRECIOUS.mp4,PRECIOUS,H_02_071
P27,15183422852879347-LAY DOWN.mp4,LAYDOWN,J_02_004
P27,37444516548577256-STORY 3.mp4,STORY1,H_03_007
P27,22824433671672661-REMOVE.mp4,REMOVE,J_02_092
P27,6597722749274493-BETWEEN.mp4,BETWEEN,J_03_003
P27,7828985429104123-THERAPY.mp4,THERAPY,H_03_088
P27,3683686933370933-TURN.mp4,TURN,J_01_065
P27,14732445338736944-HATBRIM.mp4,HATBRIM,J_03_106
P27,7129174699657943-LEND.mp4,LEND,J_01_088
P27,033061003083335816-STUMBLE.mp4,STUMBLE,J_02_079
P27,8141509916231537-CELEBRATE.mp4,CELEBRATE,J_02_100
P27,5317907630739753-TOSS.mp4,TOSS,J_03_009
P27,6248315202119024-FLOAT 3.mp4,FLOAT1,K_01_082
P27,9281991786242763-GLOVES 3.mp4,GLOVES2,K_01_012
P27,5967198277966979-HATCH 2.mp4,HATCH2,K_01_007
P27,952604993655976-ARREST 2.mp4,ARREST2,K_01_023
P27,3970515413299438-TRIM 2.mp4,TRIM1,K_01_062
P27,3514134231905748-PILLOW 2.mp4,PILLOW2,K_01_097
P27,6460789576220416-FOLLOW 3.mp4,FOLLOW1,K_01_113
P27,4065631392847162-CURL 2.mp4,CURL1,K_01_072
P27,1972456015393984-PIPE 2.mp4,PIPE2,K_02_018
P27,884245075969109-SHIRT 2.mp4,SHIRT2,K_01_108
P27,07861832724083051-SAW 2.mp4,SAW2,K_02_007
P27,6046511009087137-SLIP 2.mp4,SLIP1,K_02_033
P27,17937949650496554-PILLOW 3.mp4,PILLOW3,K_02_049
P27,5826307977016509-CLOCK 2.mp4,CLOCK1,K_02_038
P27,6834146020164062-LICK ENVELOPE_2.mp4,LICKENVELOPE2,K_02_028
P27,64427331177039-STAND 2.mp4,STAND1,K_02_081
P27,4117182571567861-GLASS 3.mp4,GLASS1,K_02_059
P27,8012116744467503-SUMMON.mp4,SUMMON,K_02_075
P27,2103744922082973-BURY 2.mp4,BURY1,K_03_018
P27,5739155847599413-ARREST 3.mp4,ARREST3,K_03_036
P27,8232714732389887-FLOAT 2.mp4,FLOAT2,K_03_007
P27,7399382222751405-STACK 3.mp4,STACK2,K_03_069
P27,9094973604336949-STETHOSCOPE 2.mp4,STETHOSCOPE2,K_03_086
P27,09875475127812638-VAMPIRE.mp4,VAMPIRE,K_03_123
P27,05806252826252667-POP 4.mp4,POP1,K_03_031
P27,4255829936145523-RAZOR 2.mp4,RAZOR2,K_03_103
P27,7119985294088114-SNOW 2.mp4,SNOW2,K_03_081
P27,5178789359923881-ERASE 2.mp4,ERASE2,K_03_098
P27,01118936157892736-PIPE 3.mp4,PIPE3,K_03_113
P27,893226405287961-BENEFIT.mp4,BENEFIT,C_02_056
P27,0904876263937251-GUESS 2.mp4,GUESS2,C_01_057
P27,6618184353134122-DEMAND 2.mp4,DEMAND2,C_01_078
P27,39208139679456555-DROP.mp4,DROP,C_03_052
P27,7454125438084975-GAME.mp4,GAME,C_03_047
P27,8581311944934575-FOREIGNER 2.mp4,FOREIGNER2,C_03_067
P27,49337206377431264-APPOINTMENT.mp4,APPOINTMENT,C_01_088
P27,24003583559252006-WELL.mp4,WELL,D_01_009
P27,3147681618714515-YESTERDAY.mp4,YESTERDAY,D_01_024
P27,9054349058419979-TEETH.mp4,TEETH,D_01_040
P27,3362974225221058-GIRL.mp4,GIRL,C_03_073
P27,40396831272987344-BOAT.mp4,BOAT,D_01_055
P27,8676316241278772-EASY.mp4,EASY,D_01_070
P27,5047356383497554-IDEA.mp4,IDEA,D_01_085
P27,6509350765048743-LET KNOW.mp4,LETKNOW,D_02_028
P27,9138141046234951-MEET.mp4,MEET,D_02_018
P27,30910522748641944-NEWSPAPER.mp4,NEWSPAPER,D_02_053
P27,8770729484912829-GOD.mp4,GOD,D_02_068
P27,033986808068136254-LEAF.mp4,LEAF1,D_02_083
P27,9002652021974338-FULL.mp4,FULL,D_02_048
P27,9881108433993293-WIFE.mp4,WIFE,D_03_025
P27,3326774842275386-DRAW.mp4,DRAW,D_02_063
P27,8388170938413793-CAR.mp4,CAR,D_02_043
P27,12923719447649584-EXCUSE.mp4,EXCUSE,D_03_052
P27,23592154857554104-DOWNSIZE 2.mp4,DOWNSIZE2,D_02_058
P27,25226189957534184-LESSON.mp4,LESSON,D_03_083
P27,15520044670590227-PLUG.mp4,PLUG1,E_01_022
P27,30225370623868963-NUT.mp4,NUT1,D_02_073
P27,24384882019241338-FED UP.mp4,FEDUP,E_01_047
P27,761622248999501-CAROUSEL.mp4,CAROUSEL,E_01_063
P27,49099051992696596-BUDGET.mp4,BUDGET,E_01_099
P27,33897237112345024-COOK.mp4,COOK,D_03_078
P27,2418706280307792-GLOW.mp4,GLOW,D_03_093
P27,8742473944903879-SEQUENCE.mp4,SEQUENCE,E_02_008
P27,6424039408007061-ROCKET 1.mp4,ROCKET1,E_01_016
P27,9197933533203344-FACE.mp4,FACE,E_01_053
P27,013583442880594543-BUSY.mp4,BUSY,E_02_040
P27,5722192740034107-CHIMNEY.mp4,CHIMNEY,E_02_064
P27,25035147452135864-HAIR CLIPPER.mp4,HAIRCLIPPER,E_02_080
P27,668157395119144-PROOF.mp4,PROOF,E_02_019
P27,9358887589389193-DRIVE.mp4,DRIVE,E_02_053
P27,6150252935398928-SHARE.mp4,SHARE,E_02_101
P27,3941506181751844-INTUITIVE.mp4,INTUITIVE,F_01_006
P27,5936451949598938-LOUSY.mp4,LOUSY,F_01_074
P27,18435493541213566-SKIN.mp4,SKIN,F_01_091
P27,8127967847845061-LOOK FORWARD.mp4,LOOKFORWARD,F_02_022
P27,16437982216581437-SWIM.mp4,SWIM1,E_03_053
P27,1869205204669131-GOAL.mp4,GOAL,E_03_048
P27,1313083161632871-ANSWER.mp4,ANSWER,E_03_065
P27,435521129122193-DECLINE.mp4,DECLINE,F_01_001
P27,8909498308332211-ROUGH.mp4,ROUGH,F_01_028
P27,8833689547168337-PET.mp4,PET1,F_01_063
P27,0568143297058481-GRAY.mp4,GRAY,F_01_080
P27,3372258745703547-HEAVY.mp4,HEAVY,F_01_085
P27,03321820181349633-ISOLATED.mp4,ISOLATED,F_02_033
P27,1046753584180804-BEAVER.mp4,BEAVER,F_02_067
P27,8454509470750415-MAILMAN.mp4,MAILMAN,F_02_082
P27,39651109823880604-DISTRACTED.mp4,DISTRACTED,F_02_098
P27,4499077528509321-WILL.mp4,WILL,F_03_025
P27,5318519825811072-BEST.mp4,BEST,F_02_062
P27,5233152334618603-BAT 1.mp4,BAT2,F_03_043
P27,9500463378787636-GUILLOTINE 1.mp4,GUILLOTINE2,G_01_008
P27,06216853085016161-TAN.mp4,TAN,F_02_072
P27,5781985412875206-THEY.mp4,THEY1,F_02_103
P27,011134288994817165-FAN.mp4,FAN,F_03_055
P27,6322990795128594-SCAR MEMORY.mp4,SCARMEMORY,F_03_089
P27,8718519902959949-THOUGHT DISAPPEAR.mp4,THOUGHTDISAPPEAR,G_01_051
P27,8108722763317142-EVERYTHING.mp4,EVERYTHING,F_03_084
P27,3666561701142439-SO.mp4,SO,G_01_069
P27,8951530903526663-BACKPACK 2.mp4,BACKPACK2,G_01_064
P27,8672011714548131-CHOKE.mp4,CHOKE,G_01_079
P27,34001197816556195-GREEN BEANS.mp4,GREENBEANS,G_02_001
P27,1591081563130894-TOGETHER.mp4,TOGETHER,G_01_097
P27,46962902774994464-VAIN.mp4,VAIN,G_02_017
P27,7180085267405347-COMPASS.mp4,COMPASS,G_02_012
P27,9475425067956236-NERVE.mp4,NERVE,G_02_045
P27,7768073072973278-INSPIRE.mp4,INSPIRE,G_02_051
P27,8479857397537958-FOLLOW 1.mp4,FOLLOW2,G_01_058
P27,3225443678801754-IF.mp4,IF,G_03_017
P27,25422654826580704-SPREAD 1.mp4,SPREAD1,G_03_012
P27,33683433178110267-STRAW.mp4,STRAW,G_01_092
P27,9946188810865026-EDIT.mp4,EDIT1,G_02_057
P27,007915888843771368-NOOSE.mp4,NOOSE,G_02_076
P27,0783156344745779-SMOKE.mp4,SMOKE,H_01_046
P27,7488876263593198-GO BACK_AND_FORTH.mp4,GOBACKANDFORTH,H_01_052
P27,2597263600814943-TENDENCY.mp4,TENDENCY,G_03_089
P27,3634417094904736-SPECIAL 2.mp4,SPECIAL2,H_01_068
P27,3531116845700337-BAND AID.mp4,BANDAID1,H_01_088
P27,2426699695592469-WEIRD.mp4,WEIRD,H_02_011
P27,5886803181489926-SCOUT.mp4,SCOUT,H_02_099
P27,2235135028504771-SOW.mp4,SOW,H_01_075
P27,9784162742081493-SURGERY.mp4,SURGERY,H_03_046
P27,3450881336116933-KINDERGARTEN.mp4,KINDERGARTEN,H_03_062
P27,14227861285408072-PHILADELPHIA.mp4,PHILADELPHIA,H_02_023
P27,6755203960498768-INFECTION.mp4,INFECTION,H_02_057
P27,9154022032673397-TWO OF_US.mp4,TWOOFUS,H_02_090
P27,410738648613143-KEEP.mp4,KEEP,H_03_005
P27,2317095680191732-CRANKY.mp4,CRANKY,H_02_104
P27,830787000475951-STRANGLE.mp4,STRANGLE,J_01_093
P27,5771309842185135-SOON 3.mp4,SOON2,H_03_023
P27,15453609173184768-HOWL.mp4,HOWL,J_02_019
P27,6344719051154015-DRAG.mp4,DRAG1,J_02_039
P27,41890787117830763-WORKSHOP.mp4,WORKSHOP,J_02_055
P27,9554913930671471-STRUGGLE.mp4,STRUGGLE,H_03_102
P27,7681752105646049-MEXICAN 2.mp4,MEXICAN2,H_03_091
P27,5774965274459374-BOSTON.mp4,BOSTON,J_03_001
P27,5565687821852272-FRIENDS NO_MORE_1.mp4,FRIENDSNOMORE1,J_03_034
P27,7732143808933507-SLICE.mp4,SLICE2,J_01_035
P27,3845277119547632-MARCH.mp4,MARCH,J_01_013
P27,6306937784517368-ATHLETE.mp4,ATHLETE,J_03_068
P27,6405663785891025-SANDWICH 4.mp4,SANDWICH2,K_01_015
P27,5043203086690871-RESPECT.mp4,RESPECT,J_01_029
P27,7283664026726124-POLISH.mp4,POLISH,J_01_086
P27,15930574135298836-AGAIN.mp4,AGAIN,J_02_013
P27,46497537908935493-CHERISH.mp4,CHERISH,J_02_033
P27,06361354508519401-HIT 2.mp4,HIT2,K_01_111
P27,2323645828053269-POSITIVE.mp4,POSITIVE,J_02_050
P27,3011320203153176-OVERTAKE.mp4,OVERTAKE,J_02_007
P27,3459506766929512-STETHOSCOPE 4.mp4,STETHOSCOPE3,K_02_031
P27,07054620815836277-JACKET 3.mp4,JACKET2,K_02_079
P27,1474953932619274-HALF HOUR.mp4,HALFHOUR,J_02_024
P27,1334228090707661-GREET 2.mp4,GREET2,K_02_095
P27,03881792595870803-FACULTY.mp4,FACULTY,J_02_061
P27,26768382762350984-TABLET.mp4,TABLET,K_02_126
P27,6413229661281796-FOLLOW 4.mp4,FOLLOW3,K_03_016
P27,29936438432252954-MAKE BELIEVE.mp4,MAKEBELIEVE,J_02_097
P27,12804495689114836-ROAR.mp4,ROAR1,J_03_062
P27,5325873307363216-SUNBATHE 2.mp4,SUNBATHE1,K_03_034
P27,2158842846411113-BOOTS 2.mp4,BOOTS1,K_03_101
P27,6068689060812122-FOCUS.mp4,FOCUS,J_03_056
P27,087218290226027-MAGNET 3.mp4,MAGNET1,K_01_026
P27,2903149585140743-DROWN 5.mp4,DROWN2,K_01_045
P27,6655830940028145-KISS 3.mp4,KISS2,K_01_005
P27,4595018364337602-FILE 3.mp4,FILE1,K_01_038
