Participant ID,Video file,Gloss,ASL-LEX Code
P52,6179702126024083-seedEQUAL.mp4,EQUAL,C_01_052
P52,8952842140511983-seedBROWN.mp4,BROWN,D_03_045
P52,16156596952094948-seedHAIRDRYER.mp4,HAIRDRYER1,B_02_078
P52,22142860158788769-seedTALL.mp4,TALL1,B_01_030
P52,8822432405805758-seedLETTER.mp4,LETTER1,C_01_031
P52,9645242727912822-seedWRONG.mp4,WRONG,B_01_055
P52,934165256749965-seedSTETHOSCOPE.mp4,STETHOSCOPE1,D_03_028
P52,782005418597048-seedCOW.mp4,COW,A_01_033
P52,9036149331863652-seedTHURSDAY.mp4,THURSDAY,B_02_045
P52,9437623529149397-seedBELIEVE.mp4,BELIEVE1,D_02_049
P52,2836475527916116-seedDEATH.mp4,DEATH,A_01_076
P52,9620329534902838-seedPOOL GAME.mp4,POOLGAME,D_02_010
P52,5956039216323104-seedCRACKER.mp4,CRACKER1,C_01_081
P52,30308650547262106-seedSNOW.mp4,SNOW1,A_01_057
P52,04219710187602055-seedNEW YORK.mp4,NEWYORK,B_01_034
P52,7932567926493139-seedLAWYER.mp4,LAWYER,A_03_007
P52,7984109429693049-seedACCOMPLISH.mp4,ACCOMPLISH,C_02_085
P52,539265078325357-seedTURKEY.mp4,TURKEY1,A_02_078
P52,06420577246436587-seedWHAT FOR.mp4,WHATFOR1,C_02_054
P52,8300596933486175-seedWEST.mp4,WEST,D_03_053
P52,18060811926680542-seedGOLD.mp4,GOLD,D_02_009
P52,9592714049006388-seedSCARF.mp4,SCARF1,A_03_013
P52,6242530732628926-seedTHIN.mp4,THIN,C_02_002
P52,7983411108751943-seedBUG.mp4,BUG,B_01_067
P52,21014884099639053-seedBIRTH.mp4,BIRTH,C_02_076
P52,23759830186934616-seedOFFICE.mp4,OFFICE,A_01_063
P52,23747814298802283-seedBEER.mp4,BEER,B_03_062
P52,8124646345409476-seedBREAK.mp4,BREAK,D_01_069
P52,8490823098987097-seedSAME.mp4,SAME1,B_02_009
P52,7715727494452564-seedBAD.mp4,BAD,B_02_082
P52,945595010493804-seedSHAMPOO.mp4,SHAMPOO,D_01_035
P52,5095314542128282-seedMY.mp4,MY,C_01_060
P52,8944080888501851-seedHAMBURGER.mp4,HAMBURGER,A_01_004
P52,06718527858686207-seedCRAWL.mp4,CRAWL1,D_01_068
P52,28976298738317063-seedBUSINESS.mp4,BUSINESS,D_01_022
P52,9432574110287932-seedBASKETBALL.mp4,BASKETBALL1,A_03_045
P52,41518796326029683-seedSNAKE.mp4,SNAKE,A_01_043
P52,9100155798072578-seedPROMOTE.mp4,PROMOTE,D_01_061
P52,8423243760680699-seedWEDNESDAY.mp4,WEDNESDAY,B_03_056
P52,7927219377744332-seedWALK.mp4,WALK1,D_02_057
P52,9055040307892019-seedDIAMOND.mp4,DIAMOND,A_01_066
P52,3941401273779821-seedDIE.mp4,DIE,D_02_021
P52,9305000721152028-seedLOUD.mp4,LOUD,D_02_007
P52,24708291346216793-seedFIGURE.mp4,FIGURE,C_01_016
P52,7144863119869149-seedSET UP.mp4,SETUP,B_03_021
P52,2408343372767363-seedGOLF.mp4,GOLF,A_02_017
P52,11093820260800857-seedSTRESS.mp4,STRESS,B_02_075
P52,9580372890443305-seedELEGANCE.mp4,ELEGANCE,D_03_042
P52,5264035139124139-seedERASER.mp4,ERASER,C_01_072
P52,9771679261047299-seedCRY.mp4,CRY1,B_03_028
P52,7271582617041277-seedWEATHER.mp4,WEATHER,C_03_072
P52,7313288183154856-seedPRESIDENT.mp4,PRESIDENT,D_02_016
P52,8711898420249944-seedCHINA.mp4,CHINA,D_03_061
P52,4996670527465159-seedSWALLOW.mp4,SWALLOW,B_02_019
P52,6208153122467146-seedLOYAL.mp4,LOYAL,D_03_017
P52,3501273687092652-seedPOINT.mp4,POINT,D_01_075
P52,48435119780326175-seedMICROSCOPE.mp4,MICROSCOPE1,A_03_076
P52,32715777687275516-seedOLD.mp4,OLD,D_01_007
P52,7207278201122214-seedFINGERSPELLING.mp4,FINGERSPELLING,B_03_065
P52,7308672415428421-seedTREE.mp4,TREE,A_01_002
P52,988461318297079-seedSKATEBOARDING.mp4,SKATEBOARDING1,C_02_052
P52,988712174751464-seedBRACELET.mp4,BRACELET,A_03_024
P52,6978175320671693-seedCHICAGO.mp4,CHICAGO,D_01_043
P52,1892913548565094-seedCOLOR.mp4,COLOR,C_02_039
P52,21904973792683724-seedBOX.mp4,BOX,C_03_025
P52,7470131183392779-seedPERFECT.mp4,PERFECT,D_01_008
P52,44951093832888867-seedABOUT.mp4,ABOUT1,B_02_072
P52,9602169342562357-seedBACON.mp4,BACON,A_03_073
P52,8042857055293466-seedOOPS.mp4,OOPS,D_03_056
P52,6986285859680277-seedWEDDING.mp4,WEDDING,D_03_015
P52,4208972831229012-seedTOILET.mp4,TOILET,A_02_038
P52,5512823982413133-seedCONGRATULATIONS.mp4,CONGRATULATIONS,B_02_022
P52,9427198695054886-seedDENTIST.mp4,DENTIST1,A_01_014
P52,4711051618566504-seedGLOVES.mp4,GLOVES1,A_02_026
P52,20101368984867207-seedTIGER.mp4,TIGER,A_01_050
P52,9049167353256697-seedSISTER.mp4,SISTER,D_03_050
P52,6383310875300838-seedLAPTOP.mp4,LAPTOP,C_03_042
P52,7431940863735196-seedSTART.mp4,START,B_01_011
P52,9271508961459425-seedSODA.mp4,SODA,C_03_030
P52,15708989001853224-seedOWL.mp4,OWL,D_01_087
P52,3350620048272488-seedGUESS.mp4,GUESS1,D_02_013
P52,16175596949402915-seedPERCENT.mp4,PERCENT,C_02_082
P52,5984192076174009-seedPHONE.mp4,PHONE,A_02_040
P52,21893266643537235-seedPULL.mp4,PULL,D_02_062
P52,5389961480799494-seedPENCIL.mp4,PENCIL,A_02_053
P52,0997028543418974-seedSUNSET.mp4,SUNSET,B_02_087
P52,610138000862706-seedCHEESE.mp4,CHEESE,A_02_021
P52,5751696519434184-seedQUEEN.mp4,QUEEN,A_03_055
P52,35378003973763716-seedATTENTION.mp4,ATTENTION,A_03_089
P52,9655880998317623-seedSILLY.mp4,SILLY,B_01_090
P52,7133203357637377-seedDISAGREEMENT.mp4,DISAGREEMENT,B_02_066
P52,7790165590558125-seedCHECK.mp4,CHECK,B_03_040
P52,7546524404003914-seedHOLIDAY.mp4,HOLIDAY,D_03_031
P52,5299371816376688-seedELEPHANT.mp4,ELEPHANT,A_02_059
P52,32147713012669854-seedCUTE.mp4,CUTE1,C_01_045
P52,026913108747173453-seedSCREWDRIVER.mp4,SCREWDRIVER1,D_02_023
P52,09953879192572268-seedHELP.mp4,HELP,D_01_042
