Participant ID,Video file,Gloss,ASL-LEX Code
P1,6508465822424006-THANK YOU.mp4,THANKYOU,H_02_053
P40,7535449770372906-THANK YOU.mp4,THANKYOU,H_02_053
P40,8848744369087989-NEED.mp4,NEED,C_02_034
P40,4614534315577101-NOW.mp4,NOW,C_03_062
P40,5082858473744953-NO.mp4,NO,C_03_041
P40,33093247095464684-GIRL.mp4,GIRL,C_03_073
P40,3380520143388104-SCHOOL.mp4,SCHOOL,C_03_089
P40,09480001149764816-MEET.mp4,MEET,D_02_018
P40,3845231217942484-FRIEND.mp4,FRIEND,D_03_010
P40,8335625687320589-BUT.mp4,BUT,D_03_030
P40,119693515616218-WILL.mp4,WILL,F_03_025
P40,48852938778695965-LIKE.mp4,LIKE,F_03_063
P40,2595760307657029-THEY.mp4,THEY1,F_02_103
P40,021155387754881794-REMEMBER 2.mp4,REMEMBER1,H_03_038
P40,5586971735005972-AGAIN.mp4,AGAIN,J_02_013
P43,014439537236845323-THANK YOU.mp4,THANKYOU,H_02_053
P40,10967239838402598-WITH.mp4,WITH,C_02_074
P40,823110623400116-WANT.mp4,WANT2,C_03_013
P43,2957896307414234-NEED.mp4,NEED,C_02_034
P43,945060415448846-NOW.mp4,NOW,C_03_062
P40,7717057217254395-THEY.mp4,THEY1,F_02_103
P43,5372668319999747-NO.mp4,NO,C_03_041
P43,7064746790954382-GIRL.mp4,GIRL,C_03_073
P40,20814778930087607-USE.mp4,USE,D_03_043
P43,09891286692753609-SCHOOL.mp4,SCHOOL,C_03_089
P43,41405801734964043-MEET.mp4,MEET,D_02_018
P40,23481071177880364-FINE.mp4,FINE1,C_01_043
P40,7822434515793355-DEAF.mp4,DEAF1,F_03_038
P40,6618742352834965-HOW 2.mp4,HOW2,F_02_086
P40,578024287625378-STAY.mp4,STAY,F_02_050
P40,22807949601628086-REMEMBER.mp4,REMEMBER2,C_02_014
P40,427530694463526-SEE.mp4,SEE,C_02_030
P40,5942910381149817-THINK.mp4,THINK,C_03_053
P40,011439809438488657-WHAT 2.mp4,WHAT1,D_02_094
P40,48930015457823384-FEW.mp4,FEW,C_02_067
P40,19978233231036002-WRITE.mp4,WRITE,D_01_051
P40,576125539435921-WHAT 1.mp4,WHAT2,D_02_084
P40,03614528075010082-BUY.mp4,BUY,D_03_074
P40,8444466395156511-OK.mp4,OK,F_03_080
P40,515981894493013-TAKE.mp4,TAKE,G_01_093
P40,1555998439795525-YES.mp4,YES,G_03_074
P40,7278194454734639-WOMAN 2.mp4,WOMAN2,K_01_101
P43,3115705696578963-FRIEND.mp4,FRIEND,D_03_010
P43,39508968739402306-BUT.mp4,BUT,D_03_030
P43,8513976071498299-WILL.mp4,WILL,F_03_025
P43,2935343968735329-LIKE.mp4,LIKE,F_03_063
P43,26657946023294365-THEY.mp4,THEY1,F_02_103
P43,3931430132703928-TALK 2.mp4,TALK2,H_01_023
P43,6795430287085444-REMEMBER 2.mp4,REMEMBER1,H_03_038
P43,3428061938829572-AGAIN.mp4,AGAIN,J_02_013
P43,4265884930339092-WITH.mp4,WITH,C_02_074
P43,7340640373745668-WANT.mp4,WANT2,C_03_013
P43,9566049112694803-THEY.mp4,THEY1,F_02_103
P43,5105678600345553-USE.mp4,USE,D_03_043
P40,25204780191133236-LIVE.mp4,LIVE1,B_03_061
P40,9582148349861712-INTERNET.mp4,INTERNET,C_02_032
P40,0077151888593323115-SAME.mp4,SAME1,B_02_009
P40,8500068040222597-BAD.mp4,BAD,B_02_082
P40,5844816745369699-TIRED.mp4,TIRED,D_02_050
P40,4402985572375251-OLD.mp4,OLD,D_01_007
P40,6807479789190645-WAIT.mp4,WAIT,B_02_016
P40,10032313363697454-ABOUT.mp4,ABOUT1,B_02_072
P40,49426957702619356-MANY.mp4,MANY,D_03_065
P40,4701606875522637-BOY.mp4,BOY,B_02_090
P40,12979829347320937-HELP.mp4,HELP,D_01_042
P40,4311917411154673-HAPPY.mp4,HAPPY,C_03_078
P40,5237431195885818-EAT.mp4,EAT1,B_02_002
P40,3979542273376353-DIFFERENT.mp4,DIFFERENT,E_03_095
P40,5481678038970468-NOT.mp4,NOT,E_01_100
P40,4794931939462106-SOME.mp4,SOME,B_01_020
P40,06423831579431782-WORK.mp4,WORK,B_03_059
P40,6781008345337096-SLOW.mp4,SLOW,B_02_041
P40,1306552740733573-THINGS.mp4,THINGS,B_03_043
P40,1994115335737141-FINISH.mp4,FINISH,B_03_025
P40,33555147348315106-EAT.mp4,EAT1,B_02_002
P40,5993871743257306-FOR.mp4,FOR,B_03_049
P40,23627306204455656-FAMILY.mp4,FAMILY,C_01_025
P40,7256673521593155-SORRY.mp4,SORRY,C_01_020
P40,5199177562877719-GOOD.mp4,GOOD,B_01_052
P40,46577961099474163-MAN.mp4,MAN,C_01_040
P40,16441722629236466-FEEL.mp4,FEEL,C_02_001
P40,30906851369541566-TRY.mp4,TRY,B_02_034
P40,7513104867958282-HAVE.mp4,HAVE,B_03_057
P40,4782730717831809-PLEASE.mp4,PLEASE,B_02_007
P40,9574229853297838-WHERE.mp4,WHERE,B_02_035
P40,9841052916244253-DRINK.mp4,DRINK1,B_02_012
P40,6706457733210773-ASK.mp4,ASK,B_02_023
P40,07426159684377254-SAD.mp4,SAD,B_02_053
P40,3758646722492833-HOME.mp4,HOME,B_03_063
P40,9583259576552383-MAKE.mp4,MAKE,C_01_032
P40,5139672798999384-GET.mp4,GET,B_03_007
P40,9830485175329975-TALK.mp4,TALK1,C_01_008
P40,11994695058883398-KNOW.mp4,KNOW,C_01_048
P40,07916829935948999-FIND.mp4,FIND,B_03_076
P40,7384996502333443-NEW.mp4,NEW,B_02_070
P40,6741912564576187-FINE.mp4,FINE1,C_01_043
P40,14801304853456854-LOOK AT.mp4,LOOKAT,B_01_041
P40,8385294089384643-MORE.mp4,MORE,B_03_032
P40,603452666892295-TIME.mp4,TIME,B_02_080
P40,5424380767760226-OTHER.mp4,OTHER,B_02_043
P40,10912966695485293-WHICH.mp4,WHICH,B_01_088
P40,17383536861491344-WHO.mp4,WHO,C_01_041
P40,4461487552265522-WOMAN.mp4,WOMAN1,C_02_028
P40,213145928118734-HEARING.mp4,HEARING,C_02_023
P40,4687993210650012-UNDERSTAND.mp4,UNDERSTAND,C_01_006
P40,45850991964011034-NAME.mp4,NAME,D_01_021
P40,7885296477376487-WHY.mp4,WHY,D_01_067
P40,0022932153577568393-HELLO.mp4,HELLO,D_02_055
