Participant ID,Video file,Gloss,ASL-LEX Code
P1,996512226187074-EASY TO_DO.mp4,EASYTODO,G_02_073
P1,02808154918358552-PEACOCK.mp4,PEACOCK,G_02_088
P1,8221969382671432-SCOLD.mp4,SCOLD,H_01_008
P1,001428415918161674-IMPROVE.mp4,IMPROVE,H_02_003
P1,1676037390807208-GREET.mp4,GREET1,J_01_042
P1,5880724478842327-PARANOID.mp4,PARANOID,J_02_021
P1,7552681133614059-ALASKA.mp4,ALASKA,H_02_087
P1,45613794376693106-DEMOTE.mp4,DEMOTE,J_03_031
P40,6022620990262424-EASY TO_DO.mp4,EASYTODO,G_02_073
P40,7275461608600278-SCOLD.mp4,SCOLD,H_01_008
P40,047964805851413495-IMPROVE.mp4,IMPROVE,H_02_003
P40,9778046529233306-GREET.mp4,GREET1,J_01_042
P40,9119750137106359-PARANOID.mp4,PARANOID,J_02_021
P40,2063128811266226-ALASKA.mp4,ALASKA,H_02_087
P40,0525121513125173-DARK.mp4,DARK1,J_03_094
P40,4777114214367413-BENEFIT.mp4,BENEFIT,C_02_056
P40,7561528652261482-CHILDREN.mp4,CHILDREN,C_02_066
P40,17735124828998106-PROBLEM 1.mp4,PROBLEM2,C_03_010
P40,5882028078956663-ZIPPER.mp4,ZIPPER,D_01_034
P40,6207041749303615-FREEDOM.mp4,FREEDOM,E_02_001
P40,8750056311438137-SLAVE.mp4,SLAVE,E_03_094
P40,01575906812099359-TRUTH.mp4,TRUTH,E_03_015
P40,9067099373014491-CHOKE.mp4,CHOKE,G_01_079
P40,7372492030486306-CLAW.mp4,CLAW,G_02_071
P40,21837077397712124-PRINCIPAL.mp4,PRINCIPAL,H_01_030
P40,021155387754881794-REMEMBER 2.mp4,REMEMBER1,H_03_038
P43,6760439916067384-EASY TO_DO.mp4,EASYTODO,G_02_073
P43,011333819686008217-PEACOCK.mp4,PEACOCK,G_02_088
P43,10519132337113168-SCOLD.mp4,SCOLD,H_01_008
P43,30139252759341084-IMPROVE.mp4,IMPROVE,H_02_003
P43,7108325310454742-GREET.mp4,GREET1,J_01_042
P43,17442789980546958-PARANOID.mp4,PARANOID,J_02_021
P43,9616610768591958-ALASKA.mp4,ALASKA,H_02_087
P43,9971994773105604-DEMOTE.mp4,DEMOTE,J_03_031
P43,08082414477089328-GLOVES 3.mp4,GLOVES2,K_01_012
P43,6036711238812922-SLICE 2.mp4,SLICE1,K_01_028
P43,26439420589592477-DARK.mp4,DARK1,J_03_094
P43,07141966342871009-MIX 3.mp4,MIX2,K_03_118
P43,7293731316229108-BENEFIT.mp4,BENEFIT,C_02_056
P43,8427150876658211-CHILDREN.mp4,CHILDREN,C_02_066
P43,8357855864449022-PROBLEM 1.mp4,PROBLEM2,C_03_010
P40,6555552878816469-ADULT.mp4,ADULT,C_03_008
P40,6692546186048767-INTERPRETER.mp4,INTERPRETER,D_02_066
P43,0580578186613665-ZIPPER.mp4,ZIPPER,D_01_034
P40,5271676044512075-BRAILLE.mp4,BRAILLE,F_01_078
P40,2239115848074491-MELON.mp4,MELON,G_03_025
P40,6168617236410376-ADMIRE.mp4,ADMIRE,J_03_049
P40,13014078898215797-ARM 3.mp4,ARM3,K_02_002
P40,2953236973919846-BLOW MIND.mp4,BLOWMIND,F_02_045
P40,20614075169099078-EFFECT.mp4,EFFECT,G_02_044
P40,04984259953909054-NOT UNDERSTAND.mp4,NOTUNDERSTAND,G_01_049
P40,9826967731188163-PLATFORM.mp4,PLATFORM,E_03_070
P40,6057977195540294-TO.mp4,TO,E_03_086
P40,623356755387551-VANISH.mp4,VANISH,H_02_098
P40,8997914492776486-MANAGE.mp4,MANAGE,J_01_023
P40,21844213757422248-YOYO.mp4,YOYO,H_03_016
P40,9649471325313639-POP 2.mp4,POP3,K_01_049
P40,09816252162407824-EITHER.mp4,EITHER,J_01_085
P40,7350851427611491-TIE UP_2.mp4,TIEUP2,K_01_043
P40,37048216582837923-MONEY 2.mp4,MONEY2,K_01_104
P40,08058400215162931-DRILL.mp4,DRILL,D_02_044
P40,2000394233621794-LOSE.mp4,LOSE,D_03_064
P40,8474387397013008-YELLOW.mp4,YELLOW,D_01_020
P40,5142300236527306-DARK.mp4,DARK1,J_03_094
P40,6861925734789072-FORK.mp4,FORK3,E_01_049
